station_id,00001-poids-de-lhuile,00007-place-victor-hugo,00008-espace-saint-georges,00013-lois-esquile,00014-perigord,00015-pont-montaudran,00017-strasbourg-sardane,00018-strasbourg-jean-jaures,00021-carnot-labeda,00022-carnot-roland,00023-combattants,00025-place-rouaix,00026-dalbade-de-gorsse,00027-quai-de-tounis,00031-salenques,00032-musee-st-raymond,00033-beraldi,00034-saint-lazare,00035-place-jeanne-darc,00036-place-schuman,00037-ste-lucie,00039-place-damloup,00040-colombette,00041-st-aubin-camichel,00042-dauriac-escande,00043-dupuy,00046-place-des-carmes,00047-nazareth-languedoc,00048-place-du-salin,00049-coutelier-metz,00051-duportal-brienne,00052-duportal-cite-admin,00054-chaine,00055-st-sernin-g-arnoult,00056-saint-sernin-merly,00057-merly-arcole,00060-roquelaine,00063-piscine-leo-lagrange,00064-peri-mercadier,00066-jardin-royal,00068-metro-palais-de-justice,00070-fer-a-cheval,00071-cours-dillon,00072-fitte-cugnaux,00073-fitte-teinturiers,00074-laganne-teinturiers,00075-chateau-d-eau,00076-republique-pl-olivier,00079-place-lange,00083-sejourne-amidonniers,00084-brienne-manufacture,00085-marechal-leclerc,00086-heracles-bearnais,00087-lascrosses-leclerc,00090-lascrosses-a-bernard,00091-arcole-balance,00093-printemps,00094-semard-gare-routiere,00095-theatre-garonne,00097-raymond-iv,00098-pont-des-demoiselles,00099-rempart-st-etienne,00100-port-st-sauveur,00101-capt-port-st-sauveur,00106-brienne-passerelle,00108-sebastopol-ritay,00111-minimes-passerelle,00112-place-russel-branly,00114-bd-montplaisir-canal,00115-demoiselles-mistral,00116-st-michel-notre-dame,00117-billieres-poste,00118-place-du-busca,00120-ponts-jumeaux,00132-minimes-bilard,00134-eglise-bonnefoy,00135-bonnefoy-lemaitre,00136-fontaines,00137-brunhes-fontaines,00143-desbals-saintonge,00147-chaussas-daudet,00148-collignon,00149-raisin-minimes,00150-curie-campistron,00151-curie-negreneys,00153-bourges-maunoury,00159-urss-devic,00160-theatre-jules-julien,00161-rangueil-bedouce,00162-place-ditalie,00163-bedouce-midi,00164-bedouce-saouzelong,00165-place-des-avions,00168-bila-route-d-albi,00171-route-d-albi-cactus,00173-maunoury-segela,00176-general-compans,00177-baillaud-brunaud,00178-brunaud-plana,00179-cassaing-plana,00181-plana-garnier,00182-chaubet,00183-rue-de-cugnaux,00185-roubichou-arles,00186-desbals-boualam,00187-desbals-montdore,00188-muretlafage,00189-muret-boutinon,00190-espagne-les-oustalous,00191-rue-du-14-juillet,00192-rte-de-st-simonprado,00193-lombez-petite-vitesse,00194-lombez-hippodrome,00196-goujon-guilhemery,00197-caserne-perignon,00198-lafilaire-deltour,00199-deltour-rieux,00200-place-de-lormeau,00201-potez-st-exupery,00202-st-ex-courrege,00203-st-ex-petit-prince,00204-pl-roger-arnaud,00205-cottage-rieux,00206-leygue-rieux,00207-christ-roi,00208-limayrac-darasse,00209-baroux-darasse,00210-terrasse-centre-co,00211-le-dormeur-la-terrasse,00212-chaumiere-cretes,00213-pujol-chaubet,00214-castres-achiary,00215-metro-argoulets,00216-argoulets-houdon,00217-amouroux-st-tropez,00218-amouroux-ste-augustine,00220-tabar-universite,00221-vauquelin,00222-cambou-roche,00223-enac,00224-campus-supaero,00225-belin-onera,00226-fontaines-casselardit,00228-metro-pharmacie,00230-rangueil-tripode-b,00231-narbonne-marfaing,00232-narbonne-mirouse,00233-narbonne-sahuque,00236-toec-lemire,00237-cnrs,00238-herbettes-butte,00240-rte-de-blagnac-job,00241-espagne-charpentier,00242-raimbaud-colette,00243-etats-unis-ferry,00244-renan-vitry,00245-grande-bretagne-badiou,00246-wagner-jean-brunhes,00248-bouquetinse-rostand,00249-croix-daurade,00250-11-novembre,00252-negreneys-caseneuve,00253-etats-unis-robert,00256-place-de-la-rontonde,00257-chateau-de-lhers,00258-cambard,00259-place-riche,00260-duclos-fronton,00262-rond-point-chemin-de-borderouge,00263-lycee-polyvalent,00264-lafourguette,00265-passage-bordelongue,00266-touraine,00268-place-baylac,00269-place-sauvegrain,00271-ancely,00272-andre-vasseur,00273-passerieu-st-simon,00274-gallieni,00275-place-des-pradettes,00276-marin-reboul,00277-zamenhof,00278-arenes-romaine,00279-guy-espagno,283-place-micouleau
00225-belin-onera,6.9 km,7.1 km,6.7 km,7.4 km,7.3 km,5.5 km,7.1 km,6.8 km,6.5 km,6.2 km,6.1 km,6.7 km,6.8 km,7.6 km,7.6 km,7.5 km,7.5 km,7.3 km,7.2 km,7.3 km,7.7 km,6.8 km,6.8 km,6.5 km,6.5 km,6.0 km,6.5 km,6.5 km,6.8 km,6.9 km,7.9 km,8.4 km,8.2 km,7.8 km,7.7 km,7.4 km,7.8 km,6.8 km,6.8 km,5.8 km,6.5 km,7.4 km,7.4 km,8.2 km,8.0 km,7.8 km,7.3 km,7.4 km,7.6 km,8.6 km,9.0 km,9.0 km,8.9 km,8.7 km,7.9 km,7.7 km,8.0 km,7.6 km,8.5 km,7.5 km,4.4 km,6.2 km,5.5 km,5.1 km,9.4 km,8.9 km,8.2 km,4.6 km,4.9 km,5.5 km,5.5 km,8.3 km,5.0 km,9.4 km,9.7 km,8.4 km,9.0 km,9.7 km,8.8 km,8.0 km,9.7 km,8.3 km,7.8 km,10.0 km,9.5 km,9.6 km,4.0 km,3.8 km,3.6 km,4.0 km,3.8 km,3.9 km,3.7 km,9.4 km,11.8 km,10.2 km,6.7 km,8.4 km,9.1 km,9.4 km,8.0 km,7.5 km,8.7 km,9.8 km,8.3 km,7.7 km,6.4 km,7.4 km,7.3 km,7.7 km,8.2 km,9.1 km,9.5 km,6.1 km,6.6 km,4.0 km,3.4 km,2.6 km,2.2 km,2.0 km,2.2 km,2.9 km,2.6 km,4.2 km,2.8 km,4.0 km,3.7 km,3.5 km,3.5 km,8.2 km,4.9 km,4.7 km,9.7 km,9.9 km,10.1 km,9.7 km,9.7 km,9.2 km,1.2 km,0.8 km,0.5 km,1 m,10.0 km,2.4 km,2.0 km,3.1 km,3.6 km,3.5 km,10.4 km,1.0 km,1.6 km,11.6 km,10.9 km,11.0 km,10.6 km,11.1 km,9.2 km,9.1 km,11.4 km,12.1 km,9.4 km,9.2 km,10.5 km,6.6 km,7.0 km,10.0 km,12.3 km,12.4 km,11.6 km,9.2 km,9.0 km,12.6 km,8.5 km,11.1 km,12.6 km,11.8 km,10.7 km,10.0 km,8.2 km,12.4 km,13.2 km,13.3 km,11.3 km,10.9 km,11.4 km
00226-fontaines-casselardit,3.8 km,4.9 km,4.1 km,3.6 km,3.9 km,5.5 km,5.1 km,5.0 km,5.2 km,5.6 km,5.5 km,4.7 km,4.4 km,4.4 km,4.5 km,3.8 km,4.8 km,4.7 km,4.8 km,5.0 km,2.7 km,5.6 km,4.4 km,5.6 km,5.9 km,5.8 km,4.5 km,4.2 km,4.2 km,4.3 km,3.6 km,3.8 km,4.3 km,4.0 km,4.0 km,4.3 km,4.8 km,5.8 km,6.0 km,4.9 km,3.9 km,2.9 km,3.0 km,2.6 km,2.6 km,3.1 km,2.8 km,2.6 km,2.8 km,2.7 km,3.1 km,3.1 km,3.0 km,3.4 km,4.0 km,4.5 km,4.8 km,4.5 km,2.0 km,5.3 km,5.9 km,5.1 km,5.1 km,5.0 km,2.5 km,3.6 km,3.8 km,5.8 km,5.6 km,5.9 km,5.2 km,1.9 km,5.4 km,3.6 km,4.3 km,5.6 km,6.4 km,0.6 km,1.2 km,3.4 km,3.1 km,4.1 km,4.3 km,4.4 km,4.6 km,5.5 km,5.4 km,5.9 km,6.1 km,5.8 km,6.6 km,6.9 km,6.3 km,6.8 km,8.0 km,6.1 km,6.2 km,7.1 km,6.4 km,6.9 km,7.7 km,9.1 km,2.0 km,7.1 km,3.9 km,3.1 km,3.2 km,4.2 km,4.0 km,2.2 km,2.4 km,1.8 km,1.7 km,5.7 km,6.2 km,7.1 km,6.7 km,8.4 km,8.9 km,8.0 km,8.9 km,6.8 km,7.4 km,6.1 km,8.2 km,7.5 km,7.5 km,8.6 km,8.9 km,6.9 km,6.5 km,7.0 km,7.2 km,7.0 km,7.5 km,7.0 km,5.3 km,4.8 km,9.1 km,9.5 km,9.9 km,10.2 km,1 m,7.4 km,8.7 km,8.4 km,6.8 km,7.2 km,1.8 km,9.6 km,8.3 km,2.7 km,5.2 km,5.0 km,4.6 km,5.4 km,0.8 km,1.3 km,7.3 km,7.7 km,1.9 km,5.1 km,4.5 km,8.0 km,7.9 km,8.0 km,6.6 km,7.0 km,7.5 km,3.6 km,5.8 km,7.8 km,5.0 km,1.2 km,4.0 km,2.4 km,9.0 km,4.3 km,5.0 km,3.9 km,4.6 km,4.8 km,1.8 km,1.4 km,6.0 km
00228-metro-pharmacie,5.4 km,5.7 km,5.3 km,6.0 km,5.8 km,4.0 km,5.6 km,5.3 km,5.0 km,4.8 km,4.6 km,5.2 km,5.3 km,6.2 km,6.2 km,6.0 km,6.0 km,5.8 km,5.8 km,5.8 km,4.7 km,5.3 km,5.3 km,5.0 km,5.1 km,4.5 km,5.0 km,5.1 km,3.7 km,5.5 km,6.4 km,6.9 km,6.7 km,6.3 km,6.2 km,5.9 km,6.3 km,5.3 km,5.3 km,4.3 km,5.0 km,4.4 km,4.3 km,6.7 km,6.5 km,4.7 km,5.9 km,5.9 km,6.2 km,7.1 km,7.6 km,7.6 km,7.5 km,7.2 km,6.4 km,6.2 km,6.6 km,6.1 km,7.0 km,6.0 km,3.0 km,4.7 km,4.0 km,3.7 km,7.9 km,7.4 km,6.8 km,3.1 km,3.4 km,4.1 km,2.9 km,6.0 km,3.0 km,7.9 km,8.3 km,6.9 km,7.6 km,7.1 km,6.4 km,5.8 km,8.3 km,6.8 km,6.3 km,8.5 km,8.0 km,8.1 km,1.8 km,1.6 km,1.3 km,1.8 km,2.3 km,1.7 km,1.4 km,8.0 km,9.7 km,8.7 km,5.3 km,6.9 km,7.6 km,8.1 km,8.7 km,8.3 km,5.2 km,8.3 km,6.1 km,5.5 km,4.2 km,5.1 km,5.0 km,5.4 km,6.0 km,6.5 km,6.8 km,4.7 km,5.2 km,4.6 km,4.0 km,3.2 km,2.7 km,2.6 km,2.7 km,3.4 km,3.1 km,5.1 km,3.3 km,4.5 km,4.2 km,4.0 km,4.0 km,6.7 km,5.4 km,5.2 km,8.4 km,8.2 km,8.7 km,8.2 km,7.5 km,6.9 km,1.3 km,1.7 km,2.1 km,2.4 km,7.4 km,1 m,0.3 km,1.9 km,1.0 km,0.9 km,7.0 km,1.8 km,2.1 km,10.1 km,6.2 km,9.6 km,9.1 km,9.6 km,6.5 km,7.6 km,9.9 km,9.4 km,5.6 km,7.8 km,9.1 km,5.5 km,7.8 km,10.7 km,10.8 km,10.9 km,10.2 km,7.0 km,6.8 km,8.6 km,6.3 km,8.5 km,9.0 km,10.4 km,9.9 km,7.7 km,6.0 km,8.8 km,9.6 km,9.7 km,9.8 km,9.4 km,9.9 km
00230-rangueil-tripode-b,5.4 km,5.7 km,5.3 km,5.9 km,5.8 km,4.0 km,5.6 km,5.3 km,5.0 km,4.8 km,4.6 km,5.2 km,5.3 km,6.2 km,6.2 km,6.0 km,6.0 km,5.8 km,5.7 km,5.8 km,6.3 km,5.3 km,5.3 km,5.0 km,5.1 km,4.5 km,5.0 km,5.1 km,5.3 km,5.5 km,6.4 km,6.9 km,6.7 km,6.3 km,6.2 km,5.9 km,6.3 km,5.3 km,5.3 km,4.3 km,5.0 km,5.9 km,5.9 km,6.7 km,6.5 km,6.3 km,5.9 km,5.9 km,6.2 km,7.1 km,7.6 km,7.6 km,7.5 km,7.2 km,6.4 km,6.2 km,6.5 km,6.1 km,7.0 km,6.0 km,3.0 km,4.7 km,4.0 km,3.7 km,7.9 km,7.4 km,6.8 km,3.1 km,3.4 km,4.1 km,3.2 km,6.8 km,3.5 km,7.9 km,8.3 km,6.9 km,7.6 km,8.3 km,7.4 km,6.1 km,8.3 km,6.8 km,6.3 km,8.5 km,8.0 km,8.1 km,2.1 km,1.9 km,1.6 km,2.1 km,2.3 km,2.4 km,1.6 km,8.0 km,9.7 km,8.7 km,5.3 km,6.9 km,7.6 km,8.1 km,8.4 km,7.9 km,5.5 km,8.3 km,6.4 km,5.7 km,4.5 km,5.4 km,5.3 km,5.7 km,6.2 km,7.6 km,8.0 km,4.7 km,5.2 km,4.6 km,4.0 km,3.1 km,2.7 km,2.6 km,2.7 km,3.4 km,3.1 km,5.1 km,3.3 km,4.5 km,4.2 km,4.0 km,4.0 km,6.7 km,5.4 km,5.2 km,8.4 km,8.2 km,8.7 km,8.2 km,7.8 km,7.2 km,0.9 km,1.3 km,1.7 km,2.1 km,8.5 km,0.4 km,1 m,1.7 km,1.4 km,1.3 km,7.3 km,1.4 km,2.1 km,10.1 km,6.5 km,9.5 km,9.1 km,9.6 km,7.7 km,7.6 km,9.9 km,9.4 km,5.9 km,7.8 km,9.0 km,5.5 km,7.4 km,10.4 km,10.8 km,10.9 km,10.1 km,7.2 km,7.1 km,8.9 km,6.6 km,9.6 km,9.2 km,10.4 km,9.9 km,8.0 km,6.3 km,9.1 km,9.8 km,10.0 km,9.8 km,9.4 km,9.9 km
00231-narbonne-marfaing,6.8 km,7.1 km,6.7 km,7.4 km,7.2 km,5.4 km,7.0 km,6.7 km,6.4 km,6.2 km,6.1 km,5.2 km,5.1 km,5.3 km,7.6 km,7.5 km,7.4 km,7.2 km,7.2 km,7.3 km,5.6 km,6.8 km,6.7 km,6.4 km,6.5 km,5.9 km,5.0 km,4.7 km,4.7 km,6.9 km,7.8 km,8.3 km,8.2 km,7.8 km,7.6 km,7.4 km,7.8 km,6.8 km,6.7 km,5.7 km,4.4 km,5.3 km,5.3 km,5.8 km,5.7 km,5.7 km,7.3 km,7.4 km,7.6 km,8.6 km,9.0 km,9.0 km,8.9 km,8.6 km,7.8 km,7.7 km,8.0 km,7.6 km,8.4 km,7.4 km,4.4 km,6.1 km,5.5 km,5.1 km,9.3 km,8.8 km,8.2 km,3.7 km,4.9 km,5.5 km,3.9 km,6.9 km,3.9 km,9.4 km,9.7 km,8.4 km,9.0 km,8.0 km,7.3 km,6.7 km,9.7 km,8.3 km,7.8 km,9.9 km,9.4 km,9.5 km,2.7 km,2.2 km,2.6 km,3.1 km,3.7 km,3.0 km,2.7 km,9.4 km,11.1 km,10.2 km,6.7 km,8.4 km,9.0 km,10.7 km,9.2 km,8.8 km,6.2 km,9.7 km,7.0 km,6.4 km,5.1 km,6.1 km,5.9 km,6.4 km,6.9 km,7.4 km,7.7 km,6.1 km,6.6 km,5.6 km,5.0 km,4.2 km,3.8 km,3.6 km,3.8 km,4.5 km,4.2 km,6.5 km,4.4 km,5.6 km,5.3 km,5.1 km,5.1 km,8.1 km,6.9 km,6.3 km,10.9 km,9.6 km,10.1 km,9.6 km,8.4 km,7.9 km,2.1 km,2.4 km,2.8 km,3.2 km,8.3 km,1.3 km,1.7 km,1 m,1.6 km,1.2 km,8.0 km,2.5 km,3.2 km,11.6 km,7.1 km,11.0 km,10.6 km,11.1 km,7.4 km,9.0 km,11.4 km,10.8 km,6.5 km,9.2 km,10.5 km,7.9 km,8.3 km,11.2 km,12.3 km,12.4 km,11.6 km,7.9 km,7.7 km,8.2 km,7.2 km,9.4 km,9.9 km,11.8 km,12.0 km,8.7 km,6.9 km,9.8 km,10.5 km,10.6 km,11.2 km,10.9 km,11.3 km
00232-narbonne-mirouse,4.5 km,4.7 km,4.2 km,4.6 km,4.8 km,4.2 km,4.7 km,5.5 km,5.2 km,4.9 km,4.8 km,3.6 km,3.5 km,3.7 km,4.8 km,4.8 km,5.1 km,6.0 km,5.9 km,6.0 km,4.0 km,5.5 km,5.5 km,5.2 km,5.2 km,4.7 km,3.4 km,3.1 km,3.1 km,3.7 km,4.9 km,5.3 km,5.3 km,4.9 km,4.9 km,6.1 km,6.5 km,5.5 km,5.4 km,4.4 km,2.8 km,3.7 km,3.7 km,4.2 km,4.1 km,4.1 km,4.3 km,4.6 km,4.8 km,5.2 km,5.6 km,5.6 km,5.5 km,5.9 km,6.5 km,6.4 km,6.7 km,6.3 km,5.1 km,6.2 km,2.6 km,4.8 km,4.2 km,3.8 km,6.0 km,7.6 km,6.9 km,2.1 km,3.6 km,2.8 km,2.3 km,5.3 km,2.3 km,6.1 km,8.4 km,7.1 km,7.7 km,6.4 km,5.7 km,5.1 km,8.4 km,7.0 km,6.5 km,8.6 km,8.1 km,8.3 km,1.1 km,0.6 km,1.0 km,1.5 km,1.9 km,1.6 km,1.1 km,8.1 km,9.8 km,8.9 km,5.4 km,7.1 km,7.7 km,8.2 km,6.9 km,9.1 km,4.6 km,8.4 km,5.4 km,4.8 km,3.5 km,4.5 km,4.4 km,4.8 km,5.3 km,5.8 km,6.2 km,4.8 km,5.3 km,4.6 km,4.0 km,3.2 km,2.7 km,2.6 km,2.7 km,3.4 km,3.1 km,5.2 km,3.3 km,4.5 km,4.2 km,4.0 km,4.0 km,6.8 km,5.6 km,5.2 km,8.5 km,8.3 km,8.8 km,8.4 km,6.8 km,6.3 km,2.5 km,2.9 km,3.3 km,3.7 km,6.7 km,1.0 km,1.3 km,1.6 km,1 m,0.4 km,6.4 km,3.0 km,2.1 km,8.2 km,5.5 km,9.7 km,9.3 km,9.8 km,5.8 km,6.1 km,10.1 km,9.5 km,5.0 km,7.9 km,9.2 km,5.5 km,6.2 km,9.3 km,11.0 km,11.1 km,10.3 km,6.3 km,6.1 km,6.6 km,5.6 km,7.8 km,8.3 km,9.0 km,10.0 km,7.1 km,5.3 km,8.2 km,8.9 km,9.0 km,8.4 km,8.0 km,10.1 km
00233-narbonne-sahuque,5.5 km,5.8 km,5.4 km,5.0 km,5.9 km,4.1 km,5.7 km,5.4 km,5.1 km,4.9 km,4.8 km,4.0 km,3.9 km,4.1 km,5.2 km,5.2 km,6.1 km,5.9 km,5.9 km,6.0 km,4.5 km,5.4 km,5.4 km,5.1 km,5.2 km,4.6 km,3.8 km,3.6 km,3.5 km,4.1 km,5.3 km,5.7 km,6.9 km,6.5 km,6.3 km,6.1 km,6.5 km,5.5 km,5.4 km,4.4 km,3.2 km,4.1 km,4.1 km,4.6 km,4.5 km,4.5 km,4.7 km,5.0 km,5.2 km,5.6 km,6.0 km,6.0 km,5.9 km,7.3 km,6.5 km,6.4 km,6.7 km,6.3 km,5.5 km,6.1 km,3.1 km,4.8 km,4.2 km,3.8 km,6.4 km,7.5 km,6.9 km,2.5 km,3.6 km,3.2 km,2.7 km,5.7 km,2.7 km,8.1 km,8.4 km,7.1 km,7.7 km,6.8 km,6.1 km,5.5 km,8.4 km,7.0 km,6.5 km,8.6 km,8.1 km,8.2 km,1.5 km,1.0 km,1.4 km,2.0 km,2.4 km,1.9 km,1.5 km,8.1 km,9.8 km,8.9 km,5.4 km,7.1 km,7.7 km,8.2 km,6.8 km,9.1 km,5.0 km,8.4 km,5.8 km,5.2 km,3.9 km,4.9 km,4.8 km,5.2 km,5.7 km,6.2 km,6.6 km,4.8 km,5.3 km,4.5 km,4.0 km,3.1 km,2.7 km,2.6 km,2.7 km,3.4 km,3.1 km,5.2 km,3.3 km,4.5 km,4.2 km,4.0 km,4.0 km,6.8 km,5.6 km,5.2 km,8.5 km,8.3 km,8.8 km,8.3 km,7.2 km,6.7 km,2.3 km,2.7 km,3.1 km,3.4 km,7.1 km,0.7 km,1.1 km,1.2 km,0.4 km,1 m,6.8 km,2.8 km,2.1 km,8.6 km,5.9 km,9.7 km,9.3 km,9.8 km,6.3 km,6.5 km,10.0 km,9.5 km,5.4 km,7.9 km,9.2 km,5.5 km,6.2 km,9.3 km,11.0 km,11.1 km,10.3 km,6.7 km,6.5 km,7.0 km,6.0 km,8.2 km,8.7 km,9.4 km,10.0 km,7.5 km,5.7 km,8.6 km,9.3 km,9.4 km,8.8 km,8.4 km,10.0 km
00236-toec-lemire,4.5 km,5.8 km,4.8 km,4.3 km,4.6 km,5.7 km,6.0 km,5.8 km,6.1 km,5.8 km,5.7 km,4.8 km,4.6 km,4.6 km,5.3 km,4.5 km,5.7 km,5.6 km,5.6 km,5.9 km,2.8 km,6.4 km,5.1 km,6.0 km,6.1 km,5.9 km,4.6 km,4.4 km,4.3 km,4.3 km,4.4 km,4.6 km,5.1 km,4.7 km,4.7 km,5.2 km,5.7 km,6.6 km,6.8 km,5.0 km,4.1 km,3.2 km,3.3 km,2.9 km,3.0 km,3.5 km,3.1 km,3.0 km,3.5 km,3.6 km,4.0 km,4.0 km,3.9 km,4.2 km,4.9 km,5.4 km,5.6 km,6.6 km,3.0 km,6.1 km,5.8 km,5.1 km,5.3 km,5.2 km,4.3 km,4.5 km,5.8 km,5.8 km,6.5 km,5.8 km,5.2 km,2.2 km,5.4 km,4.5 km,6.4 km,7.6 km,8.4 km,1.7 km,2.2 km,2.8 km,5.8 km,6.1 km,6.3 km,7.1 km,6.6 km,7.5 km,5.4 km,5.8 km,6.0 km,5.7 km,6.6 km,6.8 km,6.2 km,8.8 km,10.0 km,8.1 km,7.0 km,8.0 km,8.4 km,8.9 km,9.8 km,9.9 km,2.2 km,9.1 km,3.3 km,2.5 km,3.2 km,4.1 km,4.0 km,1.6 km,1.8 km,1.4 km,1.3 km,5.9 km,6.4 km,7.3 km,6.9 km,9.3 km,8.9 km,8.7 km,8.8 km,6.5 km,7.6 km,6.3 km,9.4 km,7.7 km,7.7 km,8.7 km,10.1 km,7.7 km,6.7 km,7.1 km,9.2 km,9.0 km,9.5 km,9.0 km,4.7 km,4.1 km,9.1 km,9.5 km,9.9 km,10.2 km,1.0 km,7.3 km,8.6 km,8.3 km,6.7 km,7.2 km,1 m,9.5 km,8.2 km,6.5 km,5.2 km,7.7 km,7.2 km,7.7 km,1.4 km,2.6 km,9.3 km,9.7 km,1.3 km,7.2 km,7.2 km,8.2 km,8.1 km,10.0 km,8.9 km,9.0 km,9.6 km,2.9 km,5.8 km,5.4 km,4.4 km,1.8 km,3.3 km,3.0 km,11.0 km,3.6 km,5.0 km,3.2 km,3.9 km,4.1 km,2.5 km,2.0 km,9.3 km
00237-cnrs,6.2 km,6.5 km,6.1 km,6.7 km,6.6 km,4.8 km,6.4 km,6.1 km,5.8 km,5.6 km,5.4 km,6.0 km,6.1 km,7.0 km,7.0 km,6.8 km,6.8 km,6.6 km,6.5 km,6.6 km,7.1 km,6.1 km,6.1 km,5.8 km,5.9 km,5.3 km,5.8 km,5.9 km,6.1 km,6.3 km,7.2 km,7.7 km,7.5 km,7.1 km,7.0 km,6.7 km,7.1 km,6.1 km,6.1 km,5.1 km,5.8 km,6.7 km,6.7 km,7.5 km,7.3 km,7.1 km,6.7 km,6.7 km,7.0 km,7.9 km,8.4 km,8.4 km,8.3 km,8.0 km,7.2 km,7.0 km,7.3 km,6.9 km,7.8 km,6.8 km,3.8 km,5.5 km,4.8 km,4.5 km,8.7 km,8.2 km,7.6 km,3.9 km,4.2 km,4.9 km,4.9 km,7.6 km,4.3 km,8.7 km,9.1 km,7.7 km,8.4 km,9.1 km,8.2 km,7.4 km,9.1 km,7.6 km,7.1 km,9.3 km,8.8 km,8.9 km,3.4 km,3.1 km,2.9 km,3.3 km,3.1 km,3.2 km,3.0 km,8.8 km,10.8 km,9.5 km,6.1 km,7.7 km,8.4 km,8.4 km,6.9 km,6.5 km,8.0 km,9.1 km,7.7 km,7.0 km,5.8 km,6.7 km,6.6 km,7.0 km,7.5 km,8.4 km,8.8 km,5.5 km,6.0 km,5.4 km,4.8 km,3.9 km,3.5 km,3.4 km,3.5 km,4.2 km,3.9 km,5.9 km,4.1 km,5.3 km,5.0 km,4.8 km,4.8 km,7.5 km,6.2 km,6.0 km,8.7 km,8.8 km,9.5 km,9.0 km,9.0 km,8.5 km,0.6 km,0.2 km,0.6 km,1.0 km,9.3 km,1.7 km,1.3 km,2.4 km,2.9 km,2.8 km,9.7 km,1 m,2.9 km,10.9 km,10.2 km,10.3 km,9.9 km,10.4 km,8.5 km,8.4 km,10.7 km,11.1 km,8.7 km,8.6 km,9.8 km,5.6 km,6.0 km,9.0 km,11.6 km,11.7 km,10.9 km,8.5 km,8.3 km,11.9 km,7.8 km,10.4 km,11.9 km,11.2 km,9.7 km,9.3 km,7.6 km,11.8 km,12.5 km,12.6 km,10.6 km,10.2 km,10.7 km
00238-herbettes-butte,4.9 km,5.2 km,4.8 km,5.5 km,5.3 km,3.0 km,5.1 km,4.8 km,4.5 km,4.3 km,4.2 km,4.7 km,4.9 km,5.7 km,5.7 km,5.6 km,5.6 km,5.3 km,5.3 km,5.4 km,5.8 km,4.9 km,4.9 km,4.5 km,4.6 km,4.1 km,4.6 km,4.6 km,4.8 km,5.0 km,6.0 km,6.4 km,6.3 km,5.9 km,5.8 km,5.5 km,5.9 km,4.9 km,4.8 km,3.8 km,4.6 km,5.5 km,5.4 km,6.2 km,6.0 km,5.8 km,5.4 km,5.5 km,5.7 km,6.7 km,7.1 km,7.1 km,7.0 km,6.7 km,5.9 km,5.8 km,6.1 km,5.7 km,6.6 km,5.6 km,2.5 km,4.2 km,3.6 km,3.2 km,7.4 km,6.9 km,6.3 km,2.7 km,3.0 km,3.6 km,3.6 km,6.3 km,3.0 km,7.5 km,7.8 km,6.5 km,7.1 km,7.8 km,6.9 km,6.7 km,7.8 km,6.4 km,5.9 km,8.0 km,7.5 km,7.6 km,2.7 km,2.4 km,2.2 km,2.7 km,1.8 km,2.0 km,1.8 km,7.5 km,9.2 km,8.3 km,4.8 km,6.5 km,7.1 km,8.9 km,4.8 km,7.0 km,6.8 km,7.8 km,7.0 km,6.3 km,5.1 km,7.4 km,7.5 km,6.3 km,6.8 km,7.2 km,7.6 km,4.2 km,3.2 km,2.5 km,1.9 km,1.1 km,0.6 km,0.5 km,0.6 km,1.3 km,1.0 km,2.6 km,1.2 km,2.4 km,2.1 km,1.9 km,1.9 km,6.2 km,3.3 km,3.1 km,9.1 km,9.3 km,8.2 km,7.8 km,8.3 km,7.8 km,2.5 km,2.9 km,1.9 km,2.3 km,8.1 km,2.1 km,2.0 km,3.5 km,2.3 km,2.1 km,8.4 km,3.0 km,1 m,9.7 km,9.0 km,9.1 km,8.7 km,9.2 km,7.2 km,7.1 km,9.5 km,8.9 km,7.4 km,7.3 km,8.6 km,3.4 km,4.1 km,9.5 km,10.4 km,10.5 km,9.7 km,7.8 km,10.2 km,10.6 km,7.1 km,9.2 km,10.6 km,9.9 km,10.2 km,8.6 km,6.9 km,10.5 km,11.2 km,11.4 km,9.3 km,9.0 km,9.5 km
